Date	Open	High	Low	Close*	Adj Close**	Volume
Jan 17, 2022	514.80	526.90	512.00	525.00	525.00	27,942,414
Jan 14, 2022	509.00	515.40	505.65	509.90	509.90	12,655,602
Jan 13, 2022	504.00	513.80	494.80	511.95	511.95	27,572,553
Jan 12, 2022	505.85	511.85	503.50	507.25	507.25	16,255,334
Jan 11, 2022	503.00	507.90	498.15	501.30	501.30	16,269,193
Jan 10, 2022	493.10	504.90	491.30	503.70	503.70	25,193,771
Jan 07, 2022	490.05	495.50	483.75	490.60	490.60	15,532,165
Jan 06, 2022	481.50	492.95	477.10	488.85	488.85	16,563,230
Jan 05, 2022	486.95	492.75	483.55	489.75	489.75	15,420,105
Jan 04, 2022	496.80	499.00	484.05	489.60	489.60	24,100,985
Jan 03, 2022	493.50	500.85	492.00	497.60	497.60	32,748,423
Dec 31, 2021	472.70	483.60	471.85	482.40	482.40	15,541,446
Dec 30, 2021	472.55	476.40	468.60	470.40	470.40	11,923,961
Dec 29, 2021	478.75	481.60	474.25	476.00	476.00	10,263,884
Dec 28, 2021	475.20	482.80	472.65	480.20	480.20	22,860,916
Dec 27, 2021	465.70	472.45	460.10	471.15	471.15	12,557,565
Dec 24, 2021	474.90	474.90	460.00	467.60	467.60	15,487,368
Dec 23, 2021	476.00	478.00	470.95	472.35	472.35	12,116,814
Dec 22, 2021	458.15	472.15	458.15	470.50	470.50	22,730,750
Dec 21, 2021	452.10	460.90	449.85	453.60	453.60	18,838,054
Dec 20, 2021	459.90	460.00	440.00	447.05	447.05	33,007,516
Dec 17, 2021	488.00	488.85	468.20	470.20	470.20	27,341,178
Dec 16, 2021	495.00	496.50	487.40	491.95	491.95	13,581,352
Dec 15, 2021	487.80	497.70	487.25	491.65	491.65	16,263,723
Dec 14, 2021	491.95	491.95	483.30	489.40	489.40	17,722,547
Dec 13, 2021	499.45	506.40	494.20	495.35	495.35	21,921,272
Dec 10, 2021	487.75	496.80	486.55	494.45	494.45	14,567,815
Dec 09, 2021	498.00	498.50	489.55	493.95	493.95	16,951,593
Dec 08, 2021	484.50	495.95	483.50	493.90	493.90	20,581,817
Dec 07, 2021	476.85	484.90	471.00	481.80	481.80	21,280,797
Dec 06, 2021	480.10	480.90	466.00	467.20	467.20	17,473,075
Dec 03, 2021	480.00	484.70	477.30	480.10	480.10	20,948,900
Dec 02, 2021	479.40	480.45	471.70	479.10	479.10	21,012,008
Dec 01, 2021	467.85	478.40	463.55	475.25	475.25	28,256,188
Nov 30, 2021	466.55	478.00	455.65	458.60	458.60	35,471,800
Nov 29, 2021	457.00	470.75	443.10	461.45	461.45	42,819,150
Nov 26, 2021	486.00	486.75	458.00	460.20	460.20	51,787,989
Nov 25, 2021	490.80	495.15	486.50	492.75	492.75	15,336,539
Nov 24, 2021	499.00	501.80	485.30	488.65	488.65	20,915,837
Nov 23, 2021	484.40	499.35	477.00	495.50	495.50	27,553,684
Nov 22, 2021	512.25	512.25	478.40	486.10	486.10	40,044,849
Nov 18, 2021	531.45	534.20	501.30	509.70	509.70	47,197,742
Nov 17, 2021	520.25	536.70	520.25	530.15	530.15	48,463,415
